seed,strategy,model,threshold_mode,features,train_sources,test_source,accuracy,precision_weighted,recall_weighted,f1_weighted,recall_very_high,precision_very_high,f1_very_high
46,rule,multinomial_lr,default,ctx,mother_jones+stanford_msa,kaggle,0.4634920634920635,0.7500047246898107,0.4634920634920635,0.5513537324329347,0.3684210526315789,0.109375,0.1686746987951807
46,rule,multinomial_lr,default,ctx,kaggle+stanford_msa,mother_jones,0.19745222929936307,0.27612567899192103,0.19745222929936307,0.1488395836681446,0.5714285714285714,0.12121212121212122,0.2
46,rule,multinomial_lr,default,ctx,kaggle+mother_jones,stanford_msa,0.4491017964071856,0.8311563944795646,0.4491017964071856,0.5573241812517392,0.13333333333333333,0.10526315789473684,0.11764705882352941
46,rule,multinomial_lr,youden,ctx,mother_jones+stanford_msa,kaggle,0.36507936507936506,0.7746636703502117,0.36507936507936506,0.4557998234954398,0.3684210526315789,0.0875,0.1414141414141414
46,rule,multinomial_lr,youden,ctx,kaggle+stanford_msa,mother_jones,0.28662420382165604,0.1786535739561217,0.28662420382165604,0.16336538982439164,0.21428571428571427,0.3333333333333333,0.2608695652173913
46,rule,multinomial_lr,youden,ctx,kaggle+mother_jones,stanford_msa,0.44610778443113774,0.8412533833398914,0.44610778443113774,0.5589715175513916,0.26666666666666666,0.08163265306122448,0.125
46,rule,multinomial_lr,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.38095238095238093,0.7729504567223866,0.38095238095238093,0.46196621263289916,0.21052631578947367,0.08888888888888889,0.125
46,rule,multinomial_lr,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.21656050955414013,0.16540069364771665,0.21656050955414013,0.14545296911422081,0.5,0.10144927536231885,0.1686746987951807
46,rule,multinomial_lr,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.45808383233532934,0.8251461672329675,0.45808383233532934,0.5314666617646356,0.0,0.0,0.0
46,rule,naive_bayes,default,ctx,mother_jones+stanford_msa,kaggle,0.12698412698412698,0.7490423280423281,0.12698412698412698,0.14790050005523633,0.2631578947368421,0.043859649122807015,0.07518796992481203
46,rule,naive_bayes,default,ctx,kaggle+stanford_msa,mother_jones,0.09554140127388536,0.03374530729320454,0.09554140127388536,0.02532329666087628,1.0,0.09271523178807947,0.1696969696969697
46,rule,naive_bayes,default,ctx,kaggle+mother_jones,stanford_msa,0.1317365269461078,0.8232928083227484,0.1317365269461078,0.15967965678660567,1.0,0.050505050505050504,0.09615384615384616
46,rule,naive_bayes,youden,ctx,mother_jones+stanford_msa,kaggle,0.12698412698412698,0.7493979797979797,0.12698412698412698,0.14859619381545722,0.47368421052631576,0.05454545454545454,0.09782608695652174
